municipality_code,latitude,longitude
02201,40.67854,140.65292
02201,40.67872,140.55026
02201,40.67932,140.69221
02201,40.6804,140.54669
02201,40.68073,140.54861
02201,40.68248,140.54996
02201,40.68557,140.77739
02201,40.68724,140.55549
02201,40.68803,140.55774
02201,40.68868,140.61875
02201,40.68952,140.5568
02201,40.69105,140.62147
02201,40.69163,140.615
02201,40.69311,140.61466
02201,40.69332,140.55882
02201,40.69375,140.62031
02201,40.69376,140.54886
02201,40.69413,140.61489
02201,40.69442,140.62305
02201,40.69516,140.56235
02201,40.69617,140.56313
02201,40.69635,140.61273
02201,40.69795,140.61578
02201,40.698,140.61238
02201,40.69804,140.61224
02201,40.699,140.70999
02201,40.69967,140.61066
02201,40.7008,140.56164
02201,40.70082,140.5958
02201,40.70123,140.5605
02201,40.70212,140.73263
02201,40.70269,140.56857
02201,40.70288,140.5951
02201,40.70295,140.57997
02201,40.70318,140.5763
02201,40.70348,140.57726
02201,40.70388,140.59103
02201,40.70434,140.61173
02201,40.70436,140.55696
02201,40.70486,140.65663
02201,40.70518,140.5806
02201,40.70522,140.56118
02201,40.70578,140.60864
02201,40.70616,140.6098
02201,40.70625,140.58686
02201,40.70701,140.59487
02201,40.70742,140.60691
02201,40.70774,140.60463
02201,40.70813,140.59831
02201,40.70829,140.58603
02201,40.70832,140.60968
02201,40.70844,140.57199
02201,40.70884,140.57732
02201,40.709,140.58147
02201,40.70944,140.60073
02201,40.70955,140.59062
02201,40.70999,140.55775
02201,40.71026,140.61908
02201,40.71133,140.55912
02201,40.71139,140.5866
02201,40.71158,140.56451
02201,40.71216,140.61164
02201,40.7122,140.59586
02201,40.71279,140.5742
02201,40.71334,140.60907
02201,40.71348,140.58831
02201,40.71359,140.59302
02201,40.71364,140.59799
02201,40.71388,140.55042
02201,40.71539,140.54141
02201,40.71564,140.58828
02201,40.71573,140.59773
02201,40.71689,140.55093
02201,40.71704,140.54744
02201,40.71812,140.59855
02201,40.71833,140.58556
02201,40.71844,140.60914
02201,40.71907,140.60437
02201,40.71974,140.54383
02201,40.72033,140.58636
02201,40.72048,140.61276
02201,40.72085,140.54323
02201,40.721,140.55185
02201,40.72166,140.59522
02201,40.72169,140.60992
02201,40.72179,140.54521
02201,40.72191,140.58763
02201,40.72263,140.58299
02201,40.72303,140.59078
02201,40.72303,140.5952
02201,40.72313,140.66347
02201,40.72395,140.66348
02201,40.72407,140.61821
02201,40.72414,140.66233
02201,40.72499,140.54045
02201,40.72527,140.58982
02201,40.72578,140.6181
02201,40.72619,140.54134
02201,40.72626,140.58779
02201,40.72653,140.75963
02201,40.72706,140.62831
02201,40.72806,140.73676
02201,40.72931,140.58856
02201,40.72953,140.80525
02201,40.73001,140.73684
02201,40.73193,140.63268
02201,40.7324,140.72894
02201,40.73293,140.74736
02201,40.73322,140.58864
02201,40.73367,140.53663
02201,40.73428,140.60611
02201,40.73479,140.58641
02201,40.73485,140.53256
02201,40.7353,140.69049
02201,40.73703,140.84156
02201,40.73743,140.58649
02201,40.73807,140.76914
02201,40.73826,140.55946
02201,40.73834,140.58799
02201,40.73836,140.54125
02201,40.73874,140.58293
02201,40.73879,140.71456
02201,40.7393,140.57965
02201,40.74078,140.58652
02201,40.74221,140.72078
02201,40.74229,140.67035
02201,40.74414,140.77989
02201,40.74695,140.70405
02201,40.74721,140.78931
02201,40.74734,140.58732
02201,40.7488,140.59081
02201,40.74884,140.58962
02201,40.75031,140.58761
02201,40.75078,140.58937
02201,40.75104,140.59648
02201,40.75121,140.59269
02201,40.75344,140.74639
02201,40.75376,140.57948
02201,40.75388,140.5824
02201,40.75464,140.72331
02201,40.7567,140.80241
02201,40.75759,140.73198
02201,40.7581,140.58705
02201,40.75855,140.59231
02201,40.75869,140.72812
02201,40.75967,140.78197
