municipality_code,station_name,operator,line,latitude,longitude,passengers,address_distance_km
02201,大釈迦,東日本旅客鉄道,奥羽線,40.756669,140.587814,0,0.171
02201,奥内,東日本旅客鉄道,津軽線,40.903118,140.67225,0,0.225
02201,小柳,青い森鉄道,青い森鉄道線,40.81795,140.797691,1034,0.191
02201,左堰,東日本旅客鉄道,津軽線,40.917485,140.665812,0,1.044
02201,後潟,東日本旅客鉄道,津軽線,40.931347,140.662529,0,1.117
02201,新青森,北海道旅客鉄道,北海道新幹線,40.828099,140.69345,0,0.162
02201,新青森,東日本旅客鉄道,東北新幹線,40.828099,140.69345,0,0.162
02201,新青森,東日本旅客鉄道,奥羽線,40.827563,140.693364,8780,0.198
02201,東青森,青い森鉄道,青い森鉄道線,40.810512,140.783379,1278,0.105
02201,油川,東日本旅客鉄道,津軽線,40.856653,140.690618,0,0.304
02201,津軽宮田,東日本旅客鉄道,津軽線,40.887027,140.674438,0,0.087
02201,津軽新城,東日本旅客鉄道,奥羽線,40.827823,140.671499,0,0.955
02201,浅虫温泉,青い森鉄道,青い森鉄道線,40.891407,140.862472,616,0.016
02201,浪岡,東日本旅客鉄道,奥羽線,40.710443,140.580947,1608,0.166
02201,矢田前,青い森鉄道,青い森鉄道線,40.833781,140.807111,1387,0.072
02201,筒井,青い森鉄道,青い森鉄道線,40.805721,140.769453,1550,0.197
02201,野内,青い森鉄道,青い森鉄道線,40.846086,140.816896,965,0.316
02201,青森,東日本旅客鉄道,奥羽線,40.830323,140.73467,0,0.253
02201,青森,東日本旅客鉄道,津軽線,40.830323,140.73467,15357,0.253
02201,青森,青い森鉄道,青い森鉄道線,40.830323,140.73467,0,0.253
02201,鶴ヶ坂,東日本旅客鉄道,奥羽線,40.791167,140.635149,0,0.819
02202,中央弘前,弘南鉄道,大鰐線,40.599161,140.472286,411,0.097
02202,千年,弘南鉄道,大鰐線,40.567301,140.480311,92,0.136
02202,小栗山,弘南鉄道,大鰐線,40.564302,140.486662,10,0.125
02202,弘前,弘南鉄道,弘南線,40.598558,140.485847,2209,0.105
02202,弘前,東日本旅客鉄道,奥羽線,40.599991,140.484903,7790,0.176
02202,弘前学院大前,弘南鉄道,大鰐線,40.583371,140.470655,162,0.166
02202,弘前東高前,弘南鉄道,弘南線,40.592008,140.489109,194,0.157
02202,弘高下,弘南鉄道,大鰐線,40.592969,140.468252,58,0.089
02202,撫牛子,東日本旅客鉄道,奥羽線,40.621526,140.497799,0,0.171
02202,新里,弘南鉄道,弘南線,40.587396,140.520051,49,0.274
02202,松木平,弘南鉄道,大鰐線,40.560683,140.497155,15,0.204
02202,津軽大沢,弘南鉄道,大鰐線,40.55783,140.51651,109,0.052
02202,石川,弘南鉄道,大鰐線,40.550901,140.541465,109,0.131
02202,石川,東日本旅客鉄道,奥羽線,40.556135,140.530758,0,0.09
02202,石川プール前,弘南鉄道,大鰐線,40.543156,140.550456,28,0.087
02202,義塾高校前,弘南鉄道,大鰐線,40.555809,140.527518,84,0.134
02202,聖愛中高前,弘南鉄道,大鰐線,40.577162,140.472715,97,0.204
02202,運動公園前,弘南鉄道,弘南線,40.589401,140.503013,205,0.271
02203,プレイピア白浜,東日本旅客鉄道,八戸線,40.524451,141.581583,0,0.344
02203,八戸,東日本旅客鉄道,東北新幹線,40.509329,141.430929,0,0.055
02203,八戸,東日本旅客鉄道,八戸線,40.509199,141.431401,11386,0.028
02203,八戸,青い森鉄道,青い森鉄道線,40.509199,141.431401,2738,0.028
02203,北高岩,青い森鉄道,青い森鉄道線,40.475322,141.40578,27,0.064
02203,大久喜,東日本旅客鉄道,八戸線,40.495134,141.622953,0,0.114
02203,小中野,東日本旅客鉄道,八戸線,40.518774,141.510108,0,0.085
02203,本八戸,東日本旅客鉄道,八戸線,40.516377,141.488993,1954,0.23
02203,白銀,東日本旅客鉄道,八戸線,40.52202,141.541736,0,0.099
02203,種差海岸,東日本旅客鉄道,八戸線,40.506915,141.607354,0,0.133
02203,金浜,東日本旅客鉄道,八戸線,40.476007,141.637309,0,0.23
02203,長苗代,東日本旅客鉄道,八戸線,40.521352,141.46584,0,0.221
02203,陸奥市川,青い森鉄道,青い森鉄道線,40.563047,141.439061,272,0.189
02203,陸奥湊,東日本旅客鉄道,八戸線,40.523179,141.527402,0,0.045
02203,陸奥白浜,東日本旅客鉄道,八戸線,40.516638,141.59229,0,0.186
02203,鮫,東日本旅客鉄道,八戸線,40.530241,141.554976,494,0.098
02204,境松,弘南鉄道,弘南線,40.64885,140.575755,37,0.182
02204,黒石,弘南鉄道,弘南線,40.648346,140.591033,1202,0.076
02205,五所川原,東日本旅客鉄道,五能線,40.808807,140.447974,1414,0.1
02205,五農校前,津軽鉄道,津軽鉄道線,40.821019,140.478466,165,0.25
02205,十川,津軽鉄道,津軽鉄道線,40.817544,140.457051,9,0.355
02205,嘉瀬,津軽鉄道,津軽鉄道線,40.880976,140.469368,43,0.279
02205,川倉,津軽鉄道,津軽鉄道線,40.926322,140.443704,8,0.849
02205,毘沙門,津軽鉄道,津軽鉄道線,40.858065,140.477736,2,0.395
02205,津軽五所川原,津軽鉄道,津軽鉄道線,40.810106,140.448682,512,0.176
02205,津軽飯詰,津軽鉄道,津軽鉄道線,40.829593,140.47941,18,0.239
02205,芦野公園,津軽鉄道,津軽鉄道線,40.912232,140.451643,67,1.277
02205,金木,津軽鉄道,津軽鉄道線,40.902955,140.459948,182,2.251
02206,ひがし野団地,十和田観光電鉄,十和田観光電鉄線,40.626591,141.223798,0,0.312
02206,三農校前,十和田観光電鉄,十和田観光電鉄線,40.636785,141.267443,0,0.866
02206,北里大学前,十和田観光電鉄,十和田観光電鉄線,40.628497,141.236458,0,0.416
02206,十和田市,十和田観光電鉄,十和田観光電鉄線,40.623741,141.214035,0,0.143
02206,工業高校前,十和田観光電鉄,十和田観光電鉄線,40.627324,141.229291,0,0.104
02206,高清水,十和田観光電鉄,十和田観光電鉄線,40.634848,141.258945,0,0.359
02207,三沢,十和田観光電鉄,十和田観光電鉄線,40.6684,141.35366,0,0.212
02207,三沢,青い森鉄道,青い森鉄道線,40.669832,141.353617,2243,0.149
02208,下北,東日本旅客鉄道,大湊線,41.282838,141.189873,332,0.308
02208,大湊,東日本旅客鉄道,大湊線,41.280354,141.161785,210,0.424
02208,赤川,東日本旅客鉄道,大湊線,41.267953,141.209249,0,0.235
02208,近川,東日本旅客鉄道,大湊線,41.191315,141.279287,0,0.238
02208,金谷沢,東日本旅客鉄道,大湊線,41.228975,141.248367,0,2.558
02209,木造,東日本旅客鉄道,五能線,40.802408,140.387957,372,0.126
02209,越水,東日本旅客鉄道,五能線,40.787317,140.297942,0,0.873
02209,陸奥森田,東日本旅客鉄道,五能線,40.781695,140.339162,102,0.643
02210,尾上高校前,弘南鉄道,弘南線,40.626656,140.576999,150,0.488
02210,平賀,弘南鉄道,弘南線,40.584968,140.561078,744,0.113
02210,柏農高校前,弘南鉄道,弘南線,40.601865,140.564446,129,0.053
02210,津軽尾上,弘南鉄道,弘南線,40.613904,140.576098,329,0.206
02210,津軽湯の沢,東日本旅客鉄道,奥羽線,40.44213,140.632317,0,2.152
02210,館田,弘南鉄道,弘南線,40.585148,140.538697,111,0.212
02301,小湊,青い森鉄道,青い森鉄道線,40.929645,140.954032,550,0.208
02301,清水川,青い森鉄道,青い森鉄道線,40.921966,141.02437,109,0.083
02301,西平内,青い森鉄道,青い森鉄道線,40.91815,140.913112,115,0.235
02303,今別,東日本旅客鉄道,津軽線,41.179671,140.490568,0,0.594
02303,大川平,東日本旅客鉄道,津軽線,41.163148,140.507648,0,1.614
02303,奥津軽いまべつ,北海道旅客鉄道,北海道新幹線,41.144843,140.515716,42,0.164
02303,津軽二股,東日本旅客鉄道,津軽線,41.145909,140.514257,0,0.15
02303,津軽今別,北海道旅客鉄道,海峡線,41.145004,140.515566,0,0.156
02303,津軽浜名,東日本旅客鉄道,津軽線,41.180544,140.471835,0,1.292
02304,中沢,東日本旅客鉄道,津軽線,40.949258,140.656114,0,1.479
02304,瀬辺地,東日本旅客鉄道,津軽線,41.007755,140.648282,0,0.843
02304,蓬田,東日本旅客鉄道,津軽線,40.969157,140.654526,0,1.412
02304,郷沢,東日本旅客鉄道,津軽線,40.987754,140.652401,0,1.127
02307,三厩,東日本旅客鉄道,津軽線,41.185421,140.444455,0,0.389
02307,中小国,北海道旅客鉄道,海峡線,41.051654,140.596848,0,0.627
02307,中小国,東日本旅客鉄道,津軽線,41.051654,140.596848,0,0.627
02307,体験坑道,一般財団法人青函トンネル記念館,青函トンネル竜飛斜坑線,41.256501,140.347638,123,0.197
02307,吉岡海底,北海道旅客鉄道,海峡線,41.441263,140.240049,0,22.254
02307,大平,東日本旅客鉄道,津軽線,41.065876,140.559511,0,0.37
02307,竜飛海底,北海道旅客鉄道,海峡線,41.25692,140.348003,0,0.153
02307,蟹田,東日本旅客鉄道,津軽線,41.038319,140.642552,218,0.173
02307,青函トンネル記念館,一般財団法人青函トンネル記念館,青函トンネル竜飛斜坑線,41.254323,140.34708,123,0.397
02321,陸奥赤石,東日本旅客鉄道,五能線,40.761821,140.162437,0,0.146
02321,鰺ヶ沢,東日本旅客鉄道,五能線,40.775358,140.220695,382,0.055
02321,鳴沢,東日本旅客鉄道,五能線,40.782182,140.267515,0,0.587
02323,ウェスパ椿山,東日本旅客鉄道,五能線,40.593051,139.871278,0,0.978
02323,北金ヶ沢,東日本旅客鉄道,五能線,40.746103,140.095081,0,1.623
02323,十二湖,東日本旅客鉄道,五能線,40.551586,139.941938,0,0.593
02323,千畳敷,東日本旅客鉄道,五能線,40.767737,140.054698,0,1.697
02323,大戸瀬,東日本旅客鉄道,五能線,40.759497,140.033755,0,1.283
02323,大間越,東日本旅客鉄道,五能線,40.492425,139.95007,0,2.757
02323,広戸,東日本旅客鉄道,五能線,40.674617,139.955714,0,1.333
02323,松神,東日本旅客鉄道,五能線,40.535182,139.946637,0,1.428
02323,横磯,東日本旅客鉄道,五能線,40.629979,139.890912,0,0.932
02323,深浦,東日本旅客鉄道,五能線,40.650299,139.929428,0,2.206
02323,白神岳登山口,東日本旅客鉄道,五能線,40.513506,139.950349,0,0.494
02323,艫作,東日本旅客鉄道,五能線,40.608544,139.864905,0,0.754
02323,追良瀬,東日本旅客鉄道,五能線,40.686528,139.970005,0,2.482
02323,陸奥岩崎,東日本旅客鉄道,五能線,40.583322,139.924214,0,1.308
02323,陸奥柳田,東日本旅客鉄道,五能線,40.741031,140.124586,0,1.443
02323,陸奥沢辺,東日本旅客鉄道,五能線,40.586174,139.89501,0,1.303
02323,風合瀬,東日本旅客鉄道,五能線,40.732169,139.994617,0,1.28
02323,驫木,東日本旅客鉄道,五能線,40.707385,139.983265,0,0.399
02361,北常盤,東日本旅客鉄道,奥羽線,40.670613,140.54374,788,0.417
02361,林崎,東日本旅客鉄道,五能線,40.675252,140.480547,0,0.192
02361,藤崎,東日本旅客鉄道,五能線,40.653636,140.500095,0,0.17
02362,大鰐,弘南鉄道,大鰐線,40.521808,140.566936,250,0.184
02362,大鰐温泉,東日本旅客鉄道,奥羽線,40.521564,140.567043,362,0.174
02362,宿川原,弘南鉄道,大鰐線,40.525283,140.557601,5,0.132
02362,碇ヶ関,東日本旅客鉄道,奥羽線,40.479027,140.622425,130,2.209
02362,長峰,東日本旅客鉄道,奥羽線,40.516067,140.603092,0,0.28
02362,鯖石,弘南鉄道,大鰐線,40.535574,140.552752,58,0.084
02367,川部,東日本旅客鉄道,奥羽線,40.647076,140.521617,0,0.248
02367,川部,東日本旅客鉄道,五能線,40.647076,140.521617,0,0.248
02367,田んぼアート,弘南鉄道,弘南線,40.632666,140.573781,25,0.185
02367,田舎館,弘南鉄道,弘南線,40.636867,140.57127,162,0.127
02381,板柳,東日本旅客鉄道,五能線,40.69725,140.461879,0,0.105
02384,中田,東日本旅客鉄道,五能線,40.787576,140.36474,0,0.453
02384,陸奥鶴田,東日本旅客鉄道,五能線,40.757221,140.435379,0,0.253
02384,鶴泊,東日本旅客鉄道,五能線,40.736055,140.437524,0,0.048
02387,大沢内,津軽鉄道,津軽鉄道線,40.940182,140.437396,34,1.078
02387,津軽中里,津軽鉄道,津軽鉄道線,40.964896,140.441,174,1.753
02387,深郷田,津軽鉄道,津軽鉄道線,40.951284,140.441108,18,0.956
02401,北野辺地,東日本旅客鉄道,大湊線,40.871144,141.134212,0,0.197
02401,有戸,東日本旅客鉄道,大湊線,40.913999,141.189315,0,0.118
02401,狩場沢,青い森鉄道,青い森鉄道線,40.900458,141.071212,43,2.067
02401,野辺地,東日本旅客鉄道,大湊線,40.855127,141.119642,0,0.266
02401,野辺地,青い森鉄道,青い森鉄道線,40.855127,141.119642,1367,0.266
02402,七戸十和田,東日本旅客鉄道,東北新幹線,40.719925,141.153889,1370,0.523
02405,七百,十和田観光電鉄,十和田観光電鉄線,40.64364,141.305852,0,0.493
02405,古里,十和田観光電鉄,十和田観光電鉄線,40.638723,141.284716,0,0.626
02405,大曲,十和田観光電鉄,十和田観光電鉄線,40.648052,141.343102,0,1.029
02405,柳沢,十和田観光電鉄,十和田観光電鉄線,40.642924,141.320915,0,0.621
02406,吹越,東日本旅客鉄道,大湊線,41.021938,141.246521,0,0.564
02406,有畑,東日本旅客鉄道,大湊線,41.132011,141.276498,0,0.109
02406,陸奥横浜,東日本旅客鉄道,大湊線,41.086646,141.249826,0,0.051
02408,上北町,青い森鉄道,青い森鉄道線,40.733226,141.264503,481,0.153
02408,乙供,青い森鉄道,青い森鉄道線,40.780119,141.213198,345,0.109
02408,千曳,青い森鉄道,青い森鉄道線,40.804595,141.152945,11,0.563
02408,小川原,青い森鉄道,青い森鉄道線,40.709792,141.299951,19,0.116
02412,下田,青い森鉄道,青い森鉄道線,40.591975,141.407733,393,0.288
02412,向山,青い森鉄道,青い森鉄道線,40.630239,141.370246,56,0.608
02423,十字街,函館市,宝来・谷地頭線,41.764078,140.718684,0,31.234
02423,十字街,函館市,本線,41.764078,140.718684,1666,31.234
02423,大町,函館市,本線,41.770191,140.709136,193,32.235
02423,宝来町,函館市,宝来・谷地頭線,41.760973,140.720057,207,30.882
02423,市役所前,函館市,本線,41.769183,140.725508,347,31.419
02423,末広町,函館市,本線,41.766655,140.712419,462,31.757
02423,札苅,道南いさりび鉄道,道南いさりび鉄道線,41.699272,140.468123,20,42.192
02423,松風町,函館市,大森線,41.771344,140.733254,0,31.3
02423,松風町,函館市,湯の川線,41.771344,140.733254,750,31.3
02423,泉沢,道南いさりび鉄道,道南いさりび鉄道線,41.700842,140.506725,10,39.445
02423,渡島当別,道南いさりび鉄道,道南いさりび鉄道線,41.737312,140.579145,40,36.754
02423,茂辺地,道南いさりび鉄道,道南いさりび鉄道線,41.766543,140.600646,40,37.616
02423,谷地頭,函館市,宝来・谷地頭線,41.753209,140.716538,427,30.321
02423,釜谷,道南いさりび鉄道,道南いさりび鉄道線,41.712136,140.537131,10,37.926
02423,青柳町,函館市,宝来・谷地頭線,41.756507,140.718706,155,30.527
02423,魚市場通,函館市,本線,41.766494,140.722826,371,31.279
02441,目時,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,40.352055,141.289587,0,1.032
02441,目時,青い森鉄道,青い森鉄道線,40.352055,141.289587,18,1.032
02445,三戸,青い森鉄道,青い森鉄道線,40.395751,141.27315,352,0.068
02445,剣吉,青い森鉄道,青い森鉄道線,40.448972,141.346729,208,1.631
02445,苫米地,青い森鉄道,青い森鉄道線,40.466931,141.374989,109,1.067
02445,諏訪ノ平,青い森鉄道,青い森鉄道線,40.415012,141.30471,59,0.791
02446,大蛇,東日本旅客鉄道,八戸線,40.467209,141.650827,0,0.342
02446,平内,東日本旅客鉄道,八戸線,40.425568,141.699235,0,3.036
02446,角の浜,東日本旅客鉄道,八戸線,40.444465,141.681769,0,0.656
02446,階上,東日本旅客鉄道,八戸線,40.456891,141.664903,0,0.217
03201,上盛岡,東日本旅客鉄道,山田線,39.711479,141.148009,0,0.288
03201,上米内,東日本旅客鉄道,山田線,39.743907,141.203799,0,0.311
